# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546    0.128023   0.0543245
    0.937179     2.77622    0.234427
     1.00181     9.78219    0.522363
     1.06645     13.8594    0.834328
     1.13108     13.8129    0.752896
     1.19571     14.8082    0.721314
     1.26034     13.7144    0.552107
     1.32498     13.4901    0.634284
     1.38961     12.1998    0.581295
     1.45424     12.1017    0.535781
     1.51888     10.9017    0.468099
     1.58351     11.1993    0.464764
     1.64814     10.9901    0.315559
     1.71278      10.823    0.414679
     1.77741     10.1896    0.283936
     1.84204     10.4863    0.370771
     1.90667     10.2523    0.473777
     1.97131     10.0062    0.299022
     2.03594     10.2777    0.346431
     2.10057      9.8615    0.314464
     2.16521     9.75451    0.307748
     2.22984     9.52551    0.332458
     2.29447     9.49696    0.367999
     2.35911     9.27161    0.290203
     2.42374     9.90158    0.318831
     2.48837     9.20592    0.296577
     2.55301     9.53735    0.244875
     2.61764      9.5301    0.238687
     2.68227     9.29969    0.234285
      2.7469     9.47867    0.223021
     2.81154     9.27146    0.273045
     2.87617     9.21544     0.19378
      2.9408     9.77615    0.239538
     3.00544     9.81768    0.157259
     3.07007     9.96701    0.231326
      3.1347     9.58857    0.159974
     3.19934     9.10586    0.167882
     3.26397     9.58074    0.211773
      3.3286      9.6587    0.187821
     3.39323     9.92851    0.226402
     3.45787     9.96125    0.198562
      3.5225     9.75225    0.217462
     3.58713     9.63816    0.187343
     3.65177     9.75792    0.210814
      3.7164     9.58907    0.197783
     3.78103     9.67613    0.169692
     3.84567     9.63389     0.21677
      3.9103     9.61793    0.174696
     3.97493     9.36742    0.147034
     4.03957     9.35065    0.144303
      4.1042     9.19108    0.133133
     4.16883     9.15164    0.134124
     4.23346     9.33898    0.147079
      4.2981     9.29568    0.140374
     4.36273     9.42132    0.158106
     4.42736     9.30006    0.149321
       4.492     9.38019    0.178016
     4.55663     9.37489    0.118295
     4.62126     9.43225    0.135718
      4.6859      9.6685    0.144568
     4.75053      9.8593    0.141414
     4.81516     9.68275    0.131851
     4.87979     9.67816    0.140339
     4.94443     9.43391    0.136837
     5.00906     9.56524    0.119742
     5.07369     9.73794    0.101949
     5.13833     9.78434   0.0947357
     5.20296     9.70636    0.102298
     5.26759     9.80619     0.10082
     5.33223     9.89933    0.116553
     5.39686     9.81943    0.144535
     5.46149     9.73752    0.110713
     5.52612     9.88086    0.114381
     5.59076     9.86296    0.135104
     5.65539     9.73112    0.131014
     5.72002     9.82534    0.123116
     5.78466     9.80596    0.138995
     5.84929     9.74964    0.135799
     5.91392     9.49163    0.114275
     5.97856     9.59989    0.115825
     6.04319     9.62547   0.0989783
     6.10782     9.66623    0.112954
     6.17246     9.73841    0.111261
     6.23709     9.69895    0.079729
     6.30172     9.79202   0.0900184
     6.36635     9.79292     0.09927
     6.43099     9.77334   0.0814615
