# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546  0.00925706  0.00191881
    0.937179     1.47228   0.0336472
     1.00181     10.5876    0.158653
     1.06645     20.3135    0.286226
     1.13108     22.6786    0.300538
     1.19571     21.0222    0.274821
     1.26034     18.4983    0.221699
     1.32498     16.3498    0.203928
     1.38961     14.6697    0.176458
     1.45424     13.4192    0.139771
     1.51888     12.5231    0.116441
     1.58351     11.8852    0.110262
     1.64814     11.4901    0.118554
     1.71278     11.1883    0.117683
     1.77741     10.9477    0.103697
     1.84204     10.7984    0.104417
     1.90667     10.7561    0.097172
     1.97131     10.6586   0.0913697
     2.03594     10.5806   0.0934476
     2.10057     10.6186   0.0904926
     2.16521     10.5448   0.0895504
     2.22984     10.5295   0.0789703
     2.29447     10.4501   0.0836299
     2.35911      10.414   0.0801277
     2.42374     10.3486   0.0771826
     2.48837     10.2853   0.0726458
     2.55301     10.1833    0.071733
     2.61764     10.1677    0.068861
     2.68227     10.1444    0.066654
      2.7469     10.0839   0.0654959
     2.81154     10.0097   0.0617659
     2.87617     9.99195   0.0583992
      2.9408     9.96212   0.0556311
     3.00544     9.95664   0.0535112
     3.07007     9.97204   0.0529192
      3.1347      9.9495   0.0528616
     3.19934     9.94131   0.0490828
     3.26397     9.90468   0.0486205
      3.3286     9.87287   0.0482833
     3.39323     9.89037   0.0510493
     3.45787     9.81672   0.0473675
      3.5225      9.8076   0.0454111
     3.58713     9.78673   0.0436332
     3.65177     9.77959   0.0447989
      3.7164      9.7376   0.0409728
     3.78103     9.76549   0.0419436
     3.84567     9.77911   0.0417649
      3.9103     9.77987     0.04248
     3.97493     9.76519   0.0385006
     4.03957     9.76219   0.0389968
      4.1042     9.74228   0.0373781
     4.16883     9.72511   0.0348648
     4.23346     9.68692   0.0333423
      4.2981     9.68979   0.0335216
     4.36273      9.6504   0.0307697
     4.42736     9.66759    0.031483
       4.492     9.66805   0.0328143
     4.55663     9.64971   0.0297908
     4.62126     9.64068   0.0309591
      4.6859      9.6402   0.0285552
     4.75053      9.6602   0.0275582
     4.81516     9.64327   0.0270715
     4.87979     9.65516   0.0250025
     4.94443     9.65736      0.0268
     5.00906     9.65192   0.0269919
     5.07369      9.6625   0.0275527
     5.13833      9.6563   0.0277633
     5.20296     9.65196   0.0251637
     5.26759     9.66466   0.0248456
     5.33223     9.66895   0.0246448
     5.39686     9.68169   0.0244165
     5.46149     9.68871   0.0255197
     5.52612     9.71087   0.0275471
     5.59076      9.7182   0.0268106
     5.65539      9.7197   0.0273301
     5.72002     9.72121   0.0254252
     5.78466     9.73829   0.0233345
     5.84929     9.73912   0.0242497
     5.91392     9.75137   0.0255166
     5.97856     9.76381    0.025542
     6.04319     9.76281      0.0248
     6.10782      9.7568   0.0241319
     6.17246     9.75557   0.0252644
     6.23709     9.74266   0.0261464
     6.30172     9.74798   0.0252686
     6.36635     9.75781   0.0260098
     6.43099     9.77711   0.0266611
