# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 9.59932e-05  5.4584e-05
    0.884913   0.0117059 0.000929191
    0.910562    0.242257   0.0045818
    0.936212     1.64157   0.0138826
    0.961861     5.61044   0.0298713
    0.987511     11.8627   0.0452925
     1.01316     18.3858     0.05139
     1.03881     23.0509   0.0420814
     1.06446     25.1925   0.0415952
     1.09011     25.1481   0.0339286
     1.11576     23.7427   0.0367919
     1.14141     21.6995   0.0375967
     1.16706     19.4782    0.037722
     1.19271     17.3539   0.0379562
     1.21836     15.3707   0.0344568
     1.24401     13.6976   0.0303132
     1.26966     12.3123   0.0286151
     1.29531     11.1206   0.0276799
     1.32096     10.1146   0.0253897
     1.34661     9.30884   0.0229067
     1.37226     8.62744   0.0225043
     1.39791     8.06178   0.0184784
     1.42355     7.61983    0.018117
      1.4492     7.29886   0.0202132
     1.47485     7.02155   0.0199922
      1.5005      6.8241    0.017556
     1.52615     6.68899   0.0176968
      1.5518     6.61703    0.019922
     1.57745     6.61659    0.020002
      1.6031     6.65447   0.0204392
     1.62875     6.76346   0.0172019
      1.6544     6.92399   0.0175765
     1.68005     7.13696   0.0170999
      1.7057     7.38885   0.0164349
     1.73135     7.70272   0.0173184
       1.757      8.0559   0.0183071
     1.78265     8.39784   0.0193968
      1.8083     8.79874   0.0212901
     1.83395     9.21991   0.0174879
      1.8596     9.65743    0.018325
     1.88525     10.0735   0.0207253
      1.9109     10.4332   0.0187052
     1.93655     10.8203   0.0186393
      1.9622     11.1346   0.0167523
     1.98785     11.4631   0.0171237
      2.0135     11.7079   0.0171731
     2.03915     11.8747   0.0149211
      2.0648     11.9668   0.0166936
     2.09045     12.0185   0.0152195
      2.1161     11.9535   0.0151058
     2.14174     11.7933   0.0164643
     2.16739     11.5947   0.0164688
     2.19304     11.3984   0.0183272
     2.21869     11.0933   0.0179256
     2.24434     10.8149   0.0180807
     2.26999     10.5315   0.0192489
     2.29564     10.2633   0.0183445
     2.32129     9.98239   0.0166472
     2.34694     9.74948   0.0175786
     2.37259     9.53251    0.016004
     2.39824     9.34519   0.0148985
     2.42389     9.20523   0.0135235
     2.44954      9.0603   0.0134567
     2.47519     8.97279   0.0135238
     2.50084     8.81707   0.0124339
     2.52649     8.73415    0.012839
     2.55214     8.73754   0.0118735
