# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0170459  0.00557642
    0.910562    0.394644   0.0257557
    0.936212     2.08209   0.0684551
    0.961861     6.29679     0.15097
    0.987511     12.6541    0.205066
     1.01316     18.7086    0.222781
     1.03881     22.5386    0.234767
     1.06446     24.7855    0.277572
     1.09011     25.1396    0.217859
     1.11576      23.357    0.239769
     1.14141     21.2421     0.25149
     1.16706      19.195    0.179195
     1.19271      17.271    0.171878
     1.21836     15.2713    0.184521
     1.24401     13.2142    0.163649
     1.26966     11.7891    0.127132
     1.29531      10.934   0.0841621
     1.32096     10.1886    0.132972
     1.34661     9.30931    0.134028
     1.37226     8.93119    0.113534
     1.39791     8.30069   0.0807619
     1.42355     7.75583    0.080348
      1.4492     7.23354    0.102713
     1.47485     6.90006    0.116432
      1.5005     6.84137    0.136563
     1.52615     6.81039    0.101025
      1.5518     6.86315    0.113787
     1.57745     6.80761   0.0744799
      1.6031     6.96338   0.0954394
     1.62875      6.9151   0.0886569
      1.6544     6.98452    0.111347
     1.68005     7.04668   0.0845651
      1.7057     7.32984   0.0862109
     1.73135     7.71108     0.10501
       1.757     8.00737   0.0780864
     1.78265     8.47259   0.0797289
      1.8083     8.91341   0.0864881
     1.83395     9.18365    0.085205
      1.8596     9.62437   0.0848477
     1.88525     10.0283    0.123734
      1.9109     10.3622    0.108577
     1.93655     10.7177   0.0699174
      1.9622     11.0481    0.116012
     1.98785     11.5244     0.10415
      2.0135     11.7065    0.114739
     2.03915     11.7654    0.112943
      2.0648     11.9456     0.10333
     2.09045     11.8954    0.108408
      2.1161     11.8335    0.120873
     2.14174     11.7422    0.119281
     2.16739     11.6705    0.120422
     2.19304     11.4146    0.102936
     2.21869      11.128   0.0896595
     2.24434     10.7898   0.0719153
     2.26999     10.5586   0.0870833
     2.29564     10.1802   0.0767796
     2.32129      9.9815    0.094122
     2.34694     9.82185   0.0630926
     2.37259     9.60167   0.0801917
     2.39824     9.30901   0.0796206
     2.42389      9.2726   0.0721415
     2.44954     8.98796   0.0618937
     2.47519     8.72452   0.0738397
     2.50084     8.90305    0.093274
     2.52649     8.82957   0.0818166
     2.55214      8.8125   0.0817951
