# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058  0.00089639  0.00029204
    0.911124   0.0334878  0.00161155
     0.93419    0.465865  0.00590453
    0.957257     2.88311   0.0192636
    0.980323     9.89493   0.0356336
     1.00339     22.1492    0.054118
     1.02646     35.7026   0.0527063
     1.04952     45.5774   0.0499658
     1.07259     48.4138   0.0690456
     1.09566     44.4154   0.0795522
     1.11872     36.0291   0.0507098
     1.14179     26.6164   0.0388592
     1.16485     17.9607   0.0291448
     1.18792     11.1458   0.0286266
     1.21099     6.45122   0.0245384
     1.23405     3.46665   0.0191562
     1.25712     1.76353   0.0157531
     1.28019    0.872349   0.0102452
     1.30325    0.489522  0.00799365
     1.32632    0.419052  0.00677003
     1.34939    0.601275   0.0078056
     1.37245     1.03993   0.0103889
     1.39552     1.80081   0.0122151
     1.41859     2.97731   0.0151125
     1.44165     4.47243   0.0122688
     1.46472     6.20402   0.0133374
     1.48778     7.86201   0.0178472
     1.51085     9.08562   0.0229141
     1.53392     9.57546   0.0256976
     1.55698     9.17422   0.0239875
     1.58005     7.99058   0.0183572
     1.60312     6.32807    0.013446
     1.62618     4.61021   0.0111005
     1.64925     3.12282    0.012422
     1.67232     2.16296   0.0131361
     1.69538     1.89617   0.0158318
     1.71845     2.51719   0.0196484
     1.74152      4.2776   0.0235889
     1.76458     7.39428   0.0220426
     1.78765     11.8139   0.0223962
     1.81071     17.0155   0.0189385
     1.83378     22.0748   0.0251903
     1.85685     25.6405   0.0373374
     1.87991      26.802   0.0399743
     1.90298     25.2367   0.0441428
     1.92605     21.5385   0.0327384
     1.94911     16.6794   0.0176259
     1.97218       11.84   0.0158341
     1.99525      7.9171   0.0211416
     2.01831      5.3519   0.0234618
     2.04138     4.28166   0.0233427
     2.06445     4.56058   0.0202971
     2.08751     5.77197   0.0155489
     2.11058     7.49135   0.0105709
     2.13364     9.08206    0.014571
     2.15671     10.0063   0.0174128
     2.17978     10.0955   0.0191337
     2.20284     9.05015   0.0139596
     2.22591     7.69857   0.0113621
     2.24898      6.4428   0.0115291
     2.27204     5.65423     0.01974
     2.29511     5.67109    0.023149
