# DISTANCE:     AVE_GOFR:        ERROR:
   0.0115332           0           0
   0.0345996           0           0
   0.0576661           0           0
   0.0807325           0           0
    0.103799           0           0
    0.126865           0           0
    0.149932           0           0
    0.172998           0           0
    0.196065           0           0
    0.219131           0           0
    0.242198           0           0
    0.265264           0           0
     0.28833           0           0
    0.311397           0           0
    0.334463           0           0
     0.35753           0           0
    0.380596           0           0
    0.403663           0           0
    0.426729           0           0
    0.449795           0           0
    0.472862           0           0
    0.495928           0           0
    0.518995           0           0
    0.542061           0           0
    0.565128           0           0
    0.588194           0           0
     0.61126           0           0
    0.634327           0           0
    0.657393           0           0
     0.68046           0           0
    0.703526           0           0
    0.726593           0           0
    0.749659           0           0
    0.772725           0           0
    0.795792           0           0
    0.818858           0           0
    0.841925           0           0
    0.864991           0           0
    0.888058  0.00230154  0.00200859
    0.911124   0.0375155  0.00804413
     0.93419    0.612024   0.0245918
    0.957257     3.37231    0.058305
    0.980323     10.6358    0.133413
     1.00339     23.4327     0.11652
     1.02646     35.8763    0.245482
     1.04952     44.7547    0.169736
     1.07259     46.8518    0.239388
     1.09566     42.7661    0.315404
     1.11872     35.5446    0.298493
     1.14179     26.5176    0.230199
     1.16485     18.0181    0.179177
     1.18792     11.4628    0.152365
     1.21099     6.74698     0.10396
     1.23405     3.85452   0.0952743
     1.25712     2.11725   0.0643458
     1.28019     1.05632     0.04924
     1.30325    0.587505   0.0444456
     1.32632    0.537107   0.0385269
     1.34939    0.728089   0.0460542
     1.37245     1.17383   0.0634134
     1.39552     2.00315   0.0653941
     1.41859     3.01656   0.0509297
     1.44165     4.58604   0.0702461
     1.46472     6.16343   0.0575212
     1.48778     7.77927    0.103235
     1.51085     8.85077    0.116289
     1.53392     9.21208    0.130324
     1.55698     8.86845     0.13869
     1.58005     7.67789   0.0896027
     1.60312     6.23397    0.077546
     1.62618     4.80067   0.0576637
     1.64925      3.3421   0.0714258
     1.67232     2.40885   0.0744174
     1.69538     2.19225   0.0720057
     1.71845     2.95034   0.0893595
     1.74152     4.80416    0.101285
     1.76458      7.8372   0.0831919
     1.78765     12.0925   0.0646644
     1.81071     17.2856   0.0850766
     1.83378     21.5307    0.121609
     1.85685     24.8945    0.145112
     1.87991     25.7725    0.124937
     1.90298     24.2678    0.156798
     1.92605     21.1114    0.102488
     1.94911     16.5004    0.104726
     1.97218     12.1212   0.0966299
     1.99525     8.38018    0.079401
     2.01831     5.80329   0.0742438
     2.04138     4.75575    0.106829
     2.06445     5.00911   0.0799517
     2.08751     6.05559   0.0622162
     2.11058     7.43088   0.0296072
     2.13364     8.82331     0.05506
     2.15671     9.65706   0.0760776
     2.17978      9.6673   0.0841545
     2.20284     9.03917   0.0668068
     2.22591     7.83301   0.0550726
     2.24898     6.73227   0.0838135
     2.27204     6.02901    0.102093
     2.29511      6.0168   0.0774961
