#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.55571     3.55571           0
           2     3.53763     3.54667  0.00638993
           3     3.55043     3.54792  0.00438107
           4     3.57501      3.5547  0.00672303
           5     3.56942     3.55764  0.00598859
           6     3.60136     3.56493  0.00831525
           7      3.6059     3.57078   0.0089539
           8     3.56014     3.56945  0.00793285
           9     3.60571     3.57348  0.00800929
          10     3.62076     3.57821  0.00848989
          11     3.61453     3.58151  0.00833546
          12     3.60399     3.58338  0.00784846
          13     3.60744     3.58523  0.00745964
          14     3.59228     3.58574  0.00694377
          15     3.63847     3.58925  0.00731689
          16     3.61391     3.59079  0.00702003
          17     3.57691     3.58998  0.00665441
          18     3.56958     3.58884  0.00638049
          19     3.60334     3.58961  0.00609012
          20     3.60415     3.59033  0.00582885
