#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       0.952       0.952           0
           2       2.496       1.724    0.545886
           3       2.084       1.844    0.376883
           4       1.308        1.71    0.305557
           5        3.12       1.992    0.351245
           6        1.63     1.93167    0.297841
           7       2.278     1.98114    0.259369
           8       1.218     1.88575     0.24386
           9       2.304     1.93222    0.221148
          10       0.692      1.8082    0.231209
          11       0.682     1.70582    0.231752
          12       2.102     1.73883    0.214778
          13       0.748     1.66262    0.211348
          14        0.87       1.606    0.203694
          15       2.114     1.63987    0.192909
          16        1.17      1.6105    0.183074
          17        2.51     1.66341    0.179788
          18       0.828       1.617    0.175689
          19       0.538     1.56021     0.17538
          20       1.228      1.5436    0.167396
          21      -0.564     1.44324    0.187107
          22       0.166     1.38518    0.187393
          23        1.47     1.38887    0.179282
          24       0.744       1.362    0.173813
          25       1.344     1.36128    0.166862
          26       0.982     1.34669    0.161081
          27       0.618      1.3197     0.15736
          28       3.378     1.39321    0.168035
          29       1.134     1.38428    0.162478
          30       1.452     1.38653    0.157078
          31       3.686     1.46071    0.168618
          32       1.544     1.46331    0.163369
          33       1.664     1.46939    0.158531
          34       0.946       1.454    0.154614
          35       1.678      1.4604    0.150329
          36        1.87     1.47178    0.146583
          37       4.086     1.54243    0.158739
          38      -0.626     1.48537    0.164499
          39       2.096     1.50103    0.161024
          40       1.854     1.50985     0.15724
          41       3.692     1.56307    0.162163
          42       4.108     1.62367    0.169244
          43       1.872     1.62944    0.165407
          44       1.518     1.62691    0.161667
          45       1.348     1.62071    0.158193
          46        2.08      1.6307    0.155069
          47       1.886     1.63613    0.151865
          48       -0.02     1.60162     0.15257
          49       1.444     1.59841     0.14949
          50       1.914     1.60472    0.146634
          51       1.504     1.60275    0.143772
          52       1.074     1.59258    0.141366
          53       0.442     1.57087    0.140356
          54       1.656     1.57244    0.137765
          55       3.286      1.6036    0.138739
          56       1.826     1.60757    0.136318
          57      -0.734     1.56649     0.13998
          58       0.016     1.53976    0.140095
          59      -0.356     1.50763    0.141358
          60       1.014      1.4994    0.139241
          61       1.026     1.49164    0.137174
          62      -0.062     1.46658    0.137232
          63       0.742     1.45508    0.135535
          64        2.31     1.46844    0.134073
          65       0.422     1.45234    0.132974
          66       1.376     1.45118    0.130964
          67        -0.6     1.42057    0.132539
          68        1.22     1.41762    0.130623
          69       0.934     1.41061    0.128918
          70       1.956      1.4184    0.127311
          71       0.572     1.40648    0.126075
          72       1.634     1.40964    0.124364
          73        1.36     1.40896    0.122662
          74       0.772     1.40035    0.121306
          75       3.326     1.42603    0.122376
          76        1.88       1.432    0.120911
          77       2.132     1.44109    0.119682
          78       0.008     1.42272     0.11955
          79       3.188     1.44506    0.120107
          80       2.108     1.45335    0.118891
          81       1.356     1.45215    0.117429
          82       0.282     1.43788    0.116861
          83        0.71     1.42911    0.115781
          84        3.12     1.44924     0.11614
          85        0.61     1.43936    0.115192
          86       1.386     1.43874    0.113855
          87       0.058     1.42287    0.113647
          88      -0.366     1.40255    0.114159
          89        2.91     1.41948    0.114126
          90       1.892     1.42473    0.112978
          91       0.882     1.41877    0.111894
          92       -0.78     1.39487    0.113202
          93       1.462     1.39559    0.111987
          94       0.744     1.38866     0.11101
          95       3.032     1.40596    0.111181
          96       1.368     1.40556    0.110023
          97       1.156     1.40299    0.108919
          98       1.972      1.4088    0.107962
          99      -0.314     1.39139    0.108265
         100       1.228     1.38976    0.107195
