#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.288958   -0.288958           0
           2   -0.270757   -0.279857  0.00643523
           3   -0.283605   -0.281107  0.00440973
           4   -0.308033   -0.287838  0.00670257
           5   -0.302511   -0.290773  0.00597002
           6   -0.334756   -0.298104  0.00833859
           7   -0.338716   -0.303905  0.00894071
           8   -0.293325   -0.302583  0.00792032
           9   -0.338926   -0.306621  0.00800375
          10   -0.354104   -0.311369   0.0084959
          11   -0.347386   -0.314643  0.00833064
          12    -0.33722   -0.316525  0.00784599
          13   -0.340741   -0.318388  0.00746031
          14   -0.325494   -0.318895  0.00694468
          15   -0.371589   -0.322408  0.00731645
          16   -0.346599    -0.32392  0.00701365
          17   -0.309854   -0.323093  0.00664971
          18   -0.303103   -0.321982  0.00637233
          19   -0.336377    -0.32274  0.00608182
          20   -0.337267   -0.323466  0.00582094
