#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.115904    0.115904           0
           2     0.11645    0.116177  0.00019305
           3    0.112036    0.114797  0.00113444
           4    0.113283    0.114418 0.000911801
           5    0.109149    0.113365  0.00119187
           6    0.103905    0.111788  0.00174866
           7    0.117967    0.112671  0.00170716
           8    0.113755    0.112806  0.00149913
           9    0.115222    0.113075  0.00135638
          10    0.118867    0.113654  0.00133872
          11    0.108695    0.113203  0.00129069
          12     0.11852    0.113646  0.00125688
          13    0.121493     0.11425  0.00129707
          14    0.111857    0.114079  0.00121563
          15    0.112172    0.113952  0.00114121
          16    0.116152    0.114089  0.00107814
          17    0.107842    0.113722  0.00107551
          18    0.112457    0.113651  0.00101806
          19    0.115326     0.11374 0.000968283
          20    0.110301    0.113568 0.000935007
