#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     9.67257     9.67257           0
           2     10.7489     10.2107    0.380548
           3      9.5254      9.9823    0.314889
           4     10.0564     10.0008    0.236711
           5     10.4353     10.0877    0.204697
           6     10.6649     10.1839    0.191858
           7     10.8811     10.2835    0.188541
           8     10.2181     10.2753     0.16515
           9     10.1039     10.2563    0.147894
          10     10.2939     10.2601    0.133153
          11     9.81542     10.2196    0.127036
          12     10.2336     10.2208    0.116455
          13     10.2384     10.2222    0.107504
          14     10.0119     10.2071    0.100869
          15     9.94694     10.1898   0.0956241
          16     9.47106     10.1449   0.0996417
          17     10.2789     10.1528    0.094092
          18     9.49457     10.1162   0.0957064
          19     10.4257     10.1325   0.0920454
          20     10.3006     10.1409   0.0878261
          21      10.494     10.1577    0.085238
          22     10.1318     10.1565   0.0813717
          23     10.1105     10.1545   0.0778584
          24     9.31584     10.1196   0.0820829
          25     9.24078     10.0844   0.0859978
          26     9.74462     10.0714   0.0836774
          27     10.9275     10.1031   0.0863772
          28     10.1037     10.1031   0.0832923
          29     10.4847     10.1163    0.081453
          30     10.3596     10.1244   0.0791407
          31     9.95087     10.1188   0.0767854
          32     10.4339     10.1286   0.0750148
          33     9.90056     10.1217   0.0730593
          34     9.74772     10.1107   0.0717337
          35     9.69453     10.0988   0.0706628
          36     10.7982     10.1182   0.0713204
          37     9.62812      10.105   0.0706122
          38     8.99219     10.0757   0.0745797
          39     10.5319     10.0874   0.0735788
          40     10.3857     10.0949   0.0721161
          41     10.0276     10.0932   0.0703759
          42      10.463      10.102   0.0692486
          43     9.08479     10.0784    0.071565
          44     10.1788     10.0807   0.0699749
          45     10.4082     10.0879   0.0687974
          46     9.92654     10.0844   0.0673912
          47     10.0787     10.0843   0.0659574
          48     9.42801     10.0706   0.0659853
          49     10.4257     10.0779   0.0650352
          50     11.0656     10.0976   0.0666671
          51     9.52179     10.0863   0.0663092
          52     9.35587     10.0723   0.0665053
          53     11.4378     10.0981   0.0700634
          54     11.0413     10.1155   0.0709101
          55     9.28367     10.1004   0.0712156
          56     9.13065     10.0831   0.0720185
          57      9.4516      10.072    0.071602
          58     9.83824      10.068   0.0704809
          59     8.92689     10.0486   0.0718909
          60     8.81165      10.028   0.0735895
          61     9.69855     10.0226    0.072581
          62     10.4351     10.0293   0.0717147
          63     9.41239     10.0195   0.0712417
          64     9.78736     10.0158   0.0702208
          65      9.8035     10.0126   0.0692164
          66     9.74259     10.0085   0.0682884
          67     9.69857     10.0039   0.0674257
          68     9.42675     9.99538   0.0669661
          69     9.20103     9.98387   0.0669779
          70     9.12632     9.97162    0.067132
          71     9.20068     9.96076   0.0670589
          72     9.62294     9.95607   0.0662915
          73     10.1417     9.95861   0.0654321
          74     10.0527     9.95988   0.0645603
          75     9.62724     9.95544   0.0638516
          76     9.58161     9.95053   0.0632006
          77     10.1397     9.95298   0.0624276
          78     10.2659     9.95699    0.061756
          79     9.18471     9.94722   0.0617431
          80     10.7785     9.95761   0.0618396
          81     9.95335     9.95756   0.0610761
          82     9.64874     9.95379   0.0604473
          83     10.0356     9.95478   0.0597271
          84     9.54066     9.94985   0.0592192
          85     9.49108     9.94445   0.0587679
          86     9.45258     9.93873   0.0583622
          87     9.58506     9.93466   0.0578328
          88     9.22033     9.92655   0.0577425
          89     9.97779     9.92712   0.0570965
          90     9.54653     9.92289   0.0566185
          91     9.80622     9.92161   0.0560109
          92     9.51116     9.91715   0.0555794
          93     10.3018     9.92129   0.0551355
          94     10.1336     9.92354   0.0545951
          95     10.0987     9.92539   0.0540516
          96      10.057     9.92676   0.0535059
          97     9.50806     9.92244   0.0531282
          98     10.0142     9.92338   0.0525943
          99     8.87743     9.91281   0.0531136
         100     9.07922     9.90448   0.0532326
