#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1          63          63           0
           2      74.856      68.928     4.19173
           3      73.764       70.54     3.08893
           4      60.168      67.947     3.22643
           5      78.976     70.1528     3.24881
           6      61.726     68.7483     2.99557
           7      71.502     69.1417     2.59333
           8      67.686     68.9597     2.27554
           9        64.1     68.4198     2.08579
          10      63.948     67.9726     1.92455
          11      76.446     68.7429      1.8975
          12      74.778     69.2458     1.80479
          13      57.308     68.3275     1.88516
          14      64.586     68.0603     1.76935
          15      77.122     68.6644     1.75149
          16      63.234      68.325     1.67458
          17      70.562     68.4566     1.58124
          18      67.572     68.4074     1.49416
          19      72.234     68.6088     1.42902
          20      68.824     68.6196     1.35761
          21      77.316     69.0337     1.35465
          22      60.098     68.6275      1.3526
          23      62.466     68.3597     1.32005
          24      66.312     68.2743     1.26781
          25      64.812     68.1358     1.22463
          26      69.934      68.205     1.17948
          27      58.642     67.8508     1.18779
          28      83.774     68.4195     1.27425
          29      63.458     68.2484     1.24174
          30      73.896     68.4367     1.21454
          31      73.958     68.6148     1.18835
          32      61.712     68.3991     1.17063
          33      74.988     68.5987     1.15206
          34       60.25     68.3532     1.14404
          35      62.934     68.1983     1.12178
          36      71.682     68.2951     1.09479
          37      67.038     68.2611     1.06573
          38      61.066     68.0718     1.05437
          39        67.4     68.0546     1.02747
          40      73.038     68.1791     1.00931
          41      74.836     68.3415    0.997667
          42      75.092     68.5022    0.986775
          43      72.396     68.5928    0.967972
          44      70.906     68.6454    0.947399
          45      65.756     68.5812    0.928519
          46      62.708     68.4535     0.91707
          47       62.85     68.3343    0.905275
          48      67.656     68.3201    0.886525
          49       74.14     68.4389    0.876353
          50      67.934     68.4288    0.858884
          51      77.568      68.608    0.860535
          52       77.05     68.7703    0.859163
          53      58.026     68.5676     0.86654
          54      72.728     68.6447    0.853911
          55      73.678     68.7362    0.843275
          56      70.426     68.7664    0.828756
          57      58.666     68.5892    0.832945
          58      66.092     68.5461    0.819696
          59       64.92     68.4846    0.808103
          60      62.198     68.3799    0.801399
          61      64.126     68.3101    0.791289
          62      72.706      68.381    0.781697
          63       57.67      68.211    0.787561
          64      69.526     68.2316    0.775523
          65      64.702     68.1773    0.765491
          66      71.224     68.2234    0.755283
          67      70.152     68.2522    0.744558
          68      70.508     68.2854    0.734347
          69      73.778      68.365    0.728006
          70      73.172     68.4337    0.720838
          71      60.816     68.3264    0.718626
          72       61.73     68.2348    0.714461
          73       68.44     68.2376    0.704679
          74      58.644     68.1079    0.706981
          75      68.178     68.1089    0.697556
          76      74.392     68.1915    0.693259
          77      62.132     68.1128    0.688708
          78       61.24     68.0247    0.685492
          79       65.22     67.9892    0.677733
          80      71.728     68.0359    0.670871
          81      67.652     68.0312    0.662605
          82      69.414     68.0481    0.654739
          83      67.222     68.0381    0.646927
          84      63.676     67.9862    0.641306
          85      67.142     67.9763    0.633838
          86      66.418     67.9581    0.626727
          87       60.37     67.8709    0.625563
          88      52.966     67.7015    0.640973
          89      68.586     67.7115    0.633849
          90        72.2     67.7614    0.628765
          91      68.782     67.7726    0.621955
          92      66.172     67.7552    0.615438
          93      75.558     67.8391    0.614513
          94      77.116     67.9378    0.615849
          95      66.416     67.9217    0.609575
          96      66.952     67.9116    0.603309
          97      69.584     67.9289    0.597336
          98      60.352     67.8516    0.596223
          99      64.106     67.8137      0.5914
         100      61.192     67.7475    0.589181
