#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.37047     2.37047           0
           2     2.35842     2.36445  0.00425996
           3     2.36695     2.36528  0.00292071
           4     2.38334      2.3698  0.00448202
           5     2.37961     2.37176  0.00399239
           6      2.4009     2.37662   0.0055435
           7     2.40394     2.38052  0.00596927
           8     2.37343     2.37963  0.00528857
           9     2.40381     2.38232  0.00533953
          10     2.41384     2.38547  0.00565993
          11     2.40969     2.38767  0.00555697
          12     2.40266     2.38892  0.00523231
          13     2.40496     2.39015  0.00497309
          14     2.39485     2.39049  0.00462918
          15     2.42565     2.39283  0.00487793
          16     2.40927     2.39386  0.00468002
          17     2.38461     2.39332  0.00443627
          18     2.37972     2.39256  0.00425366
          19     2.40223     2.39307  0.00406008
          20     2.40277     2.39356   0.0038859
