#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     3.26675     3.26675           0
           2     3.26688     3.26681 4.53015e-05
           3     3.26682     3.26682 3.03552e-05
           4     3.26698     3.26686 4.22687e-05
           5     3.26691     3.26687  3.4939e-05
           6      3.2666     3.26682 5.00351e-05
           7     3.26719     3.26688 6.46277e-05
           8     3.26681     3.26687 5.70025e-05
           9     3.26678     3.26686 5.14552e-05
          10     3.26665     3.26684 5.01868e-05
          11     3.26714     3.26687 5.26395e-05
          12     3.26677     3.26686 4.89097e-05
          13     3.26669     3.26684 4.67348e-05
          14     3.26679     3.26684 4.35817e-05
          15     3.26688     3.26684 4.07573e-05
          16     3.26731     3.26687  4.7578e-05
          17     3.26706     3.26688 4.60017e-05
          18     3.26647     3.26686 4.87558e-05
          19     3.26696     3.26687  4.6483e-05
          20     3.26688     3.26687 4.41645e-05
